Heading,Link,Intro,Subheading,Definitions,Example,List_item,table_item,Image_url
cpp||Boolean Expressions,https://www.w3schools.com/cpp/cpp_booleans_expressions.asp,,['Boolean Expression'],"['A Boolean expression is a C++ expression that returns a boolean value: 1 (true) or 0 (false).You can use a comparison operator, such as the greater than (>) operator to find out if an expression (or a variable) is true:Or even easier:In the examples below, we use the equal to (==) operator to evaluate an expression:']","['\n  int x = 10;int y = 9;cout << (x > y); // returns 1 (true), because 10 is higher than 9 &&&&&& \n  cout << (10 > 9); // returns 1 (true), because 10 is higher than 9 &&&&&& \n  int x = 10;cout << (x == 10);\xa0 // returns 1 (true), because the value \n  of x is equal to 10 &&&&&& \n  cout << (10 == 15);\xa0 // returns \n  0 (false), because 10 is not equal to 15']",[''],[],[]
cpp||If ... Else,https://www.w3schools.com/cpp/cpp_conditions.asp,,"['C++ Conditions and If Statements', 'The if Statement']","['C++ supports the usual logical conditions from mathematics:You can use these conditions to perform different actions for different decisions.C++ has the following conditional statements:', 'Use the if statement to specify a block of \nC++ code to be executed if a condition is true.In the example below, we test two values to find out if 20 is greater than \n18. If the condition is true, print some text:We can also test variables:In the example above we use two variables, x and y, \nto test whether x is greater than y \n(using the > operator). As x is 20, and y is 18, and we know that 20 is greater than 18, we print to the screen that ""x is greater than y"".']","['\n\n  if (condition) {\xa0 // block of code to be executed if the \n  condition is true}\n &&&&&& \n  if (20 > 18) {\xa0 cout << ""20 is greater than 18"";} &&&&&& \n  int x = 20;int y = 18;if (x > y) {\xa0 cout << ""x is greater than \n  y"";}', '']","['C++ Conditions and If Statements###C++ Conditions and If Statements###&&&|||Less than: a < b|||Less than or equal to: a <= b|||Greater than: a > b|||Greater than or equal to: a >= b|||Equal to a == b|||Not Equal to: a != b|||&&&|||Use if to specify a block of code to be executed, if a specified condition is true|||Use else to specify a block of code to be executed, if the same condition is false|||Use else if to specify a new condition to test, if the first condition is false|||Use switch to specify many alternative blocks of code to be executed|||']",[],[]
cpp||If ... Else,https://www.w3schools.com/cpp/cpp_conditions.asp,,"['C++ Conditions and If Statements', 'The if Statement']","['C++ supports the usual logical conditions from mathematics:You can use these conditions to perform different actions for different decisions.C++ has the following conditional statements:', 'Use the if statement to specify a block of \nC++ code to be executed if a condition is true.In the example below, we test two values to find out if 20 is greater than \n18. If the condition is true, print some text:We can also test variables:In the example above we use two variables, x and y, \nto test whether x is greater than y \n(using the > operator). As x is 20, and y is 18, and we know that 20 is greater than 18, we print to the screen that ""x is greater than y"".']","['\n\n  if (condition) {\xa0 // block of code to be executed if the \n  condition is true}\n &&&&&& \n  if (20 > 18) {\xa0 cout << ""20 is greater than 18"";} &&&&&& \n  int x = 20;int y = 18;if (x > y) {\xa0 cout << ""x is greater than \n  y"";}', '']","['C++ Conditions and If Statements###C++ Conditions and If Statements###&&&|||Less than: a < b|||Less than or equal to: a <= b|||Greater than: a > b|||Greater than or equal to: a >= b|||Equal to a == b|||Not Equal to: a != b|||&&&|||Use if to specify a block of code to be executed, if a specified condition is true|||Use else to specify a block of code to be executed, if the same condition is false|||Use else if to specify a new condition to test, if the first condition is false|||Use switch to specify many alternative blocks of code to be executed|||']",[],[]
cpp||Else,https://www.w3schools.com/cpp/cpp_conditions_else.asp,,['The else Statement'],"['Use the else statement to specify a block of code to be executed if the condition is false.In the example above, time (20) is greater than 18, so the condition is false. \nBecause of this, we move on to the else condition and print to the screen ""Good \nevening"". If the time was less than 18, the program would print ""Good day"".']","['\n\n  if (condition) {\xa0 // block of code to be executed if the \n  condition is true} else { \xa0 // block of code to be executed \n  if the condition is false}\n\n &&&&&& \n  int time = 20;if (time < 18) {\xa0 cout << ""Good \n  day."";} else {\xa0 cout << ""Good \n  evening."";}// Outputs ""Good evening.""']",[''],[],[]
cpp||Else If,https://www.w3schools.com/cpp/cpp_conditions_elseif.asp,,['The else if Statement'],"['Use the else if statement to specify a new condition if the first condition is false.In the example above, time (22) is greater than 10, so the first condition is false. The next condition, in the  \nelse if statement, is also false, so we move on to the else\ncondition since condition1 and condition2 is both false - and print to the screen ""Good \nevening"".However, if the time was 14, our program would print ""Good day.""']","['\n\n  if (condition1) {\xa0 // block of code to be executed if \n  condition1 is true} else if (condition2) {\xa0 // block of \n  code to be executed if the condition1 is false and condition2 is true\n  } else {\xa0 // block of code to be executed if the condition1 is false \n  and condition2 is false}\n &&&&&& \n  int time = 22;if (time < 10) {\xa0 cout << ""Good \n  morning."";} else if (time < 20) {\xa0 cout << ""Good \n  day."";} else {\xa0 cout << ""Good evening."";}\n  // Outputs ""Good evening.""']",[''],[],[]
cpp||Short Hand If Else,https://www.w3schools.com/cpp/cpp_conditions_shorthand.asp,,['Short Hand If...Else (Ternary Operator)'],"['There is also a short-hand if else, which is known as the ternary operator \nbecause it consists of three operands. It can be used to replace multiple lines \nof code with a single line. It is often used to replace simple if else \nstatements:Instead of writing:You can simply write:']","['\nvariable = (condition) ? expressionTrue : \n  expressionFalse;\n &&&&&& \n  int time = 20;if (time < 18) {\xa0 cout << ""Good \n  day."";} else {\xa0 cout << ""Good \n  evening."";} &&&&&& \n  int time = 20;string result = (time < 18) ? ""Good day."" : ""Good evening."";\n  cout << result;']",[''],[],[]
cpp||Switch,https://www.w3schools.com/cpp/cpp_switch.asp,,"['C++ Switch Statements', 'The break Keyword', 'The default Keyword']","['Use the switch statement to select one of many code blocks to be executed.This is how it works:The example below uses the weekday number to calculate the weekday name:', ""When C++ reaches a break \nkeyword, it breaks out of the switch block.This will stop the execution of more code and case testing inside \nthe block.When a match is found, and the job is done, it's time for a break. There is no need for more testing."", 'The default keyword specifies some code to run if there is no \ncase match:']","['\n\n  switch(expression) {\xa0 case x:\xa0\xa0\xa0 // code \n  block\xa0\xa0\xa0 break;\xa0 case y:\xa0\xa0\xa0\n  // code block\xa0\xa0\xa0 break;\xa0 default:\xa0\xa0\xa0\n  // code block\n  }\n  &&&&&& \n  int day = 4;switch (day) {\xa0 case 1:\xa0\xa0\xa0 \n  cout << ""Monday"";\xa0\xa0\xa0 break;\xa0 case 2:\n  \xa0\xa0\xa0 cout << ""Tuesday"";\xa0\xa0\xa0 break;\xa0 case 3:\n  \xa0\xa0\xa0 cout << ""Wednesday"";\xa0\xa0\xa0 break;\xa0 case \n  4:\xa0\xa0\xa0 cout << ""Thursday"";\xa0\xa0\xa0 \n  break;\xa0 case 5:\xa0\xa0\xa0 cout << ""Friday"";\xa0\xa0\xa0 \n  break;\xa0 case 6:\xa0\xa0\xa0 cout << ""Saturday"";\xa0\xa0\xa0 \n  break;\xa0 case 7:\xa0\xa0\xa0 cout << ""Sunday"";\xa0\xa0\xa0 \n  break;\n  }// Outputs ""Thursday"" (day 4)', '\n  int day = 4;switch (day) {\xa0 case 6:\xa0\xa0\xa0 cout << ""Today \n  is Saturday"";\xa0\xa0\xa0 \n  break;\xa0 case 7:\xa0\xa0\xa0 cout << ""Today \n  is Sunday"";\xa0\xa0\xa0 \n  break;\xa0 default:\xa0\xa0\xa0 cout << ""Looking \n  forward to the Weekend"";\n  }// Outputs ""Looking forward to the Weekend""', '']","['C++ Switch Statements###&&&|||The switch expression is evaluated once|||The value of the expression is compared with the values of each case|||If there is a match, the associated block of code is executed|||The break and default keywords are optional, and will be described later in this chapter|||']",[],[]
cpp||While Loop,https://www.w3schools.com/cpp/cpp_while_loop.asp,,"['C++ Loops', 'C++ While Loop']","['Loops can execute a block of code as long as a specified condition is reached.Loops are handy because they save time, reduce errors, and they make code more readable.', 'The while loop loops through a block of code as long as a specified condition is true:In the example below, the code in the loop will run, over and over again, as long as \na variable (i) is less than 5:']","['\n  while (condition) {\n\xa0 // code block to be executed\n }\n &&&&&& \n  int i = 0;while (i < 5) {\n  \xa0 cout << i << ""\\n"";\n\xa0\xa0i++;}\n', '']",[''],[],[]
cpp||While Loop,https://www.w3schools.com/cpp/cpp_while_loop.asp,,"['C++ Loops', 'C++ While Loop']","['Loops can execute a block of code as long as a specified condition is reached.Loops are handy because they save time, reduce errors, and they make code more readable.', 'The while loop loops through a block of code as long as a specified condition is true:In the example below, the code in the loop will run, over and over again, as long as \na variable (i) is less than 5:']","['\n  while (condition) {\n\xa0 // code block to be executed\n }\n &&&&&& \n  int i = 0;while (i < 5) {\n  \xa0 cout << i << ""\\n"";\n\xa0\xa0i++;}\n', '']",[''],[],[]
cpp||Do/While Loop,https://www.w3schools.com/cpp/cpp_do_while_loop.asp,,['The Do/While Loop'],"['The do/while loop is a variant of the while loop. This loop will \nexecute the code block once, before checking if the condition is true, then it will\nrepeat the loop as long as the condition is true.The example below uses a do/while loop. The loop will always be \nexecuted at least once, even if the condition is false, because the code block \nis executed before the condition is tested:']","['\n  do {\n\xa0 // code block to be executed\n}\nwhile (condition);\n &&&&&& \n  int i = 0;do {\n  \xa0\xa0cout << i << ""\\n"";\n\xa0\xa0i++;}while (i < 5);\n']",[''],[],[]
cpp||For Loop,https://www.w3schools.com/cpp/cpp_for_loop.asp,,"['C++ For Loop', 'Another Example']","['When you know exactly how many times you want to loop through a block of \ncode, use the for loop instead of a while loop:Statement 1 is executed (one time) before the execution of the code block.Statement 2 defines the condition for executing the code block.Statement 3 is executed (every time) after the code block has been executed.The example below will print the numbers 0 to 4:Statement 1 sets a variable before the loop starts (int i = 0).Statement 2 defines the condition for the loop to run (i must be less than \n5). If the condition is true, the loop will start over again, if it is false, \nthe loop will end.Statement 3 increases a value (i++) each time the code block in the loop has \nbeen executed.', 'This example will only print even values between 0 and 10:']","['\n\nfor (statement 1; statement 2; statement 3) {\n    \xa0 // code block to be executed\n }\n &&&&&& \n  for (int i = 0; i < 5; i++) {\xa0 cout << i << ""\\n"";}\n', '\nfor (int i = 0; i <= 10; i = i + 2) {\n  \xa0\xa0cout << i << ""\\n"";\n}\n']",[''],[],[]
cpp||Break and Continue,https://www.w3schools.com/cpp/cpp_break.asp,,"['C++ Break', 'C++ Continue', 'Break and Continue in While Loop']","['You have already seen the break statement used in an earlier chapter of this tutorial. It was used to ""jump out"" of a switch statement.The break statement can also be used to jump out of a \nloop.This example jumps out of the loop when i is equal to 4:', 'The continue statement breaks one iteration (in the loop), if a specified condition occurs, and continues with the next iteration in the loop.This example skips the value of 4:', 'You can also use break and continue in while loops:']","['\n  for (int i = 0; i < 10; i++) {\xa0 if (i == 4) {\xa0\xa0\xa0 \n  break;\xa0 }\xa0 cout << i << ""\\n"";} \n', '\n  for (int i = 0; i < 10; i++) {\xa0 if (i == 4) {\xa0\xa0\xa0 \n  continue;\xa0 }\xa0 cout << i << ""\\n"";} \n', '\n  int i = 0;while (i < 10) {\xa0\xa0cout << i << ""\\n"";\xa0\xa0i++;\n  \xa0\xa0if (i == 4) {\xa0\xa0\xa0\xa0break;\xa0 \n  }} \n', '\n  int i = 0;while (i < 10) {\xa0\xa0if (i == 4) {\xa0\xa0\xa0 i++;\xa0\xa0\xa0\xa0continue;\n  \xa0\xa0}\xa0\xa0cout << i << ""\\n"";\xa0\xa0i++;} \n']",[''],[],[]
cpp||Arrays,https://www.w3schools.com/cpp/cpp_arrays.asp,,"['C++ Arrays', 'Access the Elements of an Array', 'Change an Array Element']","['Arrays are used to store multiple values in a single variable, instead of declaring separate variables for each \nvalue.To declare an array, define the variable type, specify the name \nof the array followed by square brackets \nand specify the number of elements it should store:We have now declared a variable that holds an array of four strings. To insert \nvalues to it, we can use an array literal - place the values in a \ncomma-separated list, inside curly braces:To create an array of three integers, you could write:', 'You access an array element by referring to the index number.This statement accesses the value of the first element in \ncars:', 'To change the value of a specific element, refer to the index number:']","['\n  string cars[4];\n', '\n  string cars[4] = {""Volvo"", ""BMW"", ""Ford"", ""Mazda""};\n', '\n  int myNum[3] = {10, 20, 30};\n', '\n  string cars[4] = {""Volvo"", ""BMW"", ""Ford"", ""Mazda""};\n  cout << cars[0];// Outputs Volvo\n', '\n  cars[0] = ""Opel"";\n &&&&&& \n  string cars[4] = {""Volvo"", ""BMW"", ""Ford"", ""Mazda""};cars[0] = ""Opel"";\n  cout << cars[0];\n  // Now outputs Opel instead of Volvo\n']",[''],[],[]
cpp||Arrays,https://www.w3schools.com/cpp/cpp_arrays.asp,,"['C++ Arrays', 'Access the Elements of an Array', 'Change an Array Element']","['Arrays are used to store multiple values in a single variable, instead of declaring separate variables for each \nvalue.To declare an array, define the variable type, specify the name \nof the array followed by square brackets \nand specify the number of elements it should store:We have now declared a variable that holds an array of four strings. To insert \nvalues to it, we can use an array literal - place the values in a \ncomma-separated list, inside curly braces:To create an array of three integers, you could write:', 'You access an array element by referring to the index number.This statement accesses the value of the first element in \ncars:', 'To change the value of a specific element, refer to the index number:']","['\n  string cars[4];\n', '\n  string cars[4] = {""Volvo"", ""BMW"", ""Ford"", ""Mazda""};\n', '\n  int myNum[3] = {10, 20, 30};\n', '\n  string cars[4] = {""Volvo"", ""BMW"", ""Ford"", ""Mazda""};\n  cout << cars[0];// Outputs Volvo\n', '\n  cars[0] = ""Opel"";\n &&&&&& \n  string cars[4] = {""Volvo"", ""BMW"", ""Ford"", ""Mazda""};cars[0] = ""Opel"";\n  cout << cars[0];\n  // Now outputs Opel instead of Volvo\n']",[''],[],[]
cpp||Arrays and Loops,https://www.w3schools.com/cpp/cpp_arrays_loop.asp,,['Loop Through an Array'],['You can loop through the array elements with the for \nloop.The following example outputs all elements in the cars \narray:The following example outputs the index of each element together with its value:'],"['\n  string cars[4] = {""Volvo"", ""BMW"", ""Ford"", ""Mazda""};for(int i = 0; i < 4; \n  i++) {\xa0 cout << cars[i] << ""\\n"";}\n &&&&&& \n  string cars[4] = {""Volvo"", ""BMW"", ""Ford"", ""Mazda""};for(int i = 0; i < 4; \n  i++) {\xa0 cout << i << "": "" << cars[i] << ""\\n"";}\n']",[''],[],[]
cpp||Omit Array Size,https://www.w3schools.com/cpp/cpp_arrays_omit.asp,,"['Omit Array Size', 'Omit Elements on Declaration']","[""You don't have to specify the size of the array. But if you don't, it will \nonly be as big as the \nelements that are inserted into it:This is completely fine. However, the problem arise if you want extra space \nfor future elements. \nThen you have to overwrite the existing values:If you specify the size however, the array will reserve the extra space:Now you can add a fourth and fifth element without overwriting the others:"", 'It is also possible to declare an array without specifying the elements on declaration, and add them later:']","['\n  string cars[] = {""Volvo"", ""BMW"", ""Ford""}; // \n  size of array is always 3\n', '\nstring cars[] = {""Volvo"", ""BMW"", ""Ford""};string cars[] = {""Volvo"", ""BMW"", ""Ford"", \n  ""Mazda"", ""Tesla""};\n', '\n  string cars[5] = {""Volvo"", ""BMW"", ""Ford""}; // \n  size of array is 5, even though it\'s only three elements inside it\n', '\n  cars[3] = ""Mazda"";cars[4] = ""Tesla"";\n']",[''],[],[]
cpp||References,https://www.w3schools.com/cpp/cpp_references.asp,,['Creating References'],"['A reference variable is a ""reference"" to an existing variable, and \nit is created with the & operator:Now, we can use either the variable name food or the reference name meal \nto refer to the food variable:']","['\n  string food = ""Pizza"";\xa0 // food variablestring &meal = food;\xa0\xa0\xa0 \n  // reference to food\n &&&&&& \n  string food = ""Pizza"";string &meal = food;\n  cout << food << ""\\n"";\xa0 \n  // Outputs Pizzacout << meal << ""\\n"";\xa0 // \n  Outputs Pizza\n']",[''],[],[]
cpp||References,https://www.w3schools.com/cpp/cpp_references.asp,,['Creating References'],"['A reference variable is a ""reference"" to an existing variable, and \nit is created with the & operator:Now, we can use either the variable name food or the reference name meal \nto refer to the food variable:']","['\n  string food = ""Pizza"";\xa0 // food variablestring &meal = food;\xa0\xa0\xa0 \n  // reference to food\n &&&&&& \n  string food = ""Pizza"";string &meal = food;\n  cout << food << ""\\n"";\xa0 \n  // Outputs Pizzacout << meal << ""\\n"";\xa0 // \n  Outputs Pizza\n']",[''],[],[]
cpp||Memory Address,https://www.w3schools.com/cpp/cpp_references_memory.asp,,['Memory Address'],"['In the example from the previous page, the & operator was used to create a reference variable. \nBut it can also be used to get the memory address of a variable; which is the \nlocation of where the variable is stored on the computer.When a variable is created in C++, a memory address is assigned to the variable. \nAnd when we assign a value to the variable, it is stored in this memory \naddress.To access it, use the & \noperator, and the result will represent where the variable is stored:Note: The memory address is in hexadecimal form (0x..). Note \nthat \nyou may not get the same result in your program.']","['\n  string food = ""Pizza"";\n  cout << &food; // Outputs 0x6dfed4\n']",[''],[],[]
cpp||Pointers,https://www.w3schools.com/cpp/cpp_pointers.asp,,['Creating Pointers'],"[""You learned from the previous chapter, that we can get the memory \naddress of a variable by using the & \noperator:A pointer however, is a variable that stores the memory address as its value. A pointer variable points to a data type (like int or string) of the same \ntype, and is created with the * operator. The address of the variable you're working with is assigned to the pointer:Create a pointer variable with the name ptr, that points to a string variable, by using the \nasterisk sign \n* (string* ptr). \nNote that the type of the pointer has to match the type of the variable you're \nworking with.Use the & operator to store the memory address of the \nvariable called food, and assign it to the pointer.Now, ptr holds the value of food's memory address.""]","['\n  string food = ""Pizza""; \n    // A food variable of type stringcout << \n    food;\xa0 // Outputs the value of food (Pizza)\n  cout << &food; // Outputs the memory address of food (0x6dfed4)\n &&&&&& \n    string food = ""Pizza"";\xa0 // A food variable \n    of type stringstring* ptr = \n    &food;\xa0\xa0\xa0 // A pointer variable, with the name \n    ptr, that stores the \n    address of food// Output the value of food (Pizza)cout << food << ""\\n"";// Output \n    the memory address of food (0x6dfed4)cout << &food << ""\\n"";// \n    Output the memory address of food with the pointer (0x6dfed4)cout << \n    ptr << ""\\n"";\n']",[''],[],[]
cpp||Pointers,https://www.w3schools.com/cpp/cpp_pointers.asp,,['Creating Pointers'],"[""You learned from the previous chapter, that we can get the memory \naddress of a variable by using the & \noperator:A pointer however, is a variable that stores the memory address as its value. A pointer variable points to a data type (like int or string) of the same \ntype, and is created with the * operator. The address of the variable you're working with is assigned to the pointer:Create a pointer variable with the name ptr, that points to a string variable, by using the \nasterisk sign \n* (string* ptr). \nNote that the type of the pointer has to match the type of the variable you're \nworking with.Use the & operator to store the memory address of the \nvariable called food, and assign it to the pointer.Now, ptr holds the value of food's memory address.""]","['\n  string food = ""Pizza""; \n    // A food variable of type stringcout << \n    food;\xa0 // Outputs the value of food (Pizza)\n  cout << &food; // Outputs the memory address of food (0x6dfed4)\n &&&&&& \n    string food = ""Pizza"";\xa0 // A food variable \n    of type stringstring* ptr = \n    &food;\xa0\xa0\xa0 // A pointer variable, with the name \n    ptr, that stores the \n    address of food// Output the value of food (Pizza)cout << food << ""\\n"";// Output \n    the memory address of food (0x6dfed4)cout << &food << ""\\n"";// \n    Output the memory address of food with the pointer (0x6dfed4)cout << \n    ptr << ""\\n"";\n']",[''],[],[]
cpp||Dereference,https://www.w3schools.com/cpp/cpp_pointers_dereference.asp,,['Get Memory Address and Value'],"['In the example from the previous page, we used the pointer variable to get the memory address of a variable \n(used together with the & reference operator). However, you can also \nuse the pointer to get the value of the variable, by using the * operator \n(the dereference operator):']","['\n    string food = ""Pizza"";\xa0 // Variable declarationstring* ptr = \n    &food;\xa0\xa0\xa0 // Pointer declaration// \n    Reference: Output the memory address of food with the pointer (0x6dfed4)cout << \n    ptr << ""\\n"";// \n    Dereference: Output the value of food with the pointer (Pizza)cout << \n    *ptr << ""\\n"";\n']",[''],[],[]
cpp||Modify Pointers,https://www.w3schools.com/cpp/cpp_pointers_modify.asp,,['Modify the Pointer Value'],"[""You can also change the pointer's value. But note that this will also change \nthe value of the original variable:""]","['\n    string food = ""Pizza"";string* ptr = &food;// Output the value \n    of food (Pizza)cout << food << ""\\n"";// Output the memory address \n    of food (0x6dfed4)cout << &food << ""\\n"";// Access the memory \n    address of food and output its value (Pizza)cout << *ptr << ""\\n"";\n// Change the value of the pointer*ptr = ""Hamburger"";// \n    Output the new value of the pointer (Hamburger)cout << *ptr << ""\\n"";// \n    Output the new value of the food variable (Hamburger)cout << food << ""\\n"";\n']",[''],[],[]
cpp||Functions,https://www.w3schools.com/cpp/cpp_functions.asp,A function is a block of code which only runs when it is called.,"['Create a Function', 'Call a Function', 'Function Declaration and Definition']","['You can pass data, known as parameters, into a function.Functions are used to perform certain actions, and they are \nimportant for reusing code: Define the code once, and use it many times.', 'C++ provides some pre-defined \nfunctions, such as main(), which is used to \nexecute code. But you can also \ncreate your own functions to perform certain actions. To create (often referred to as declare) a function, specify the name of the function, followed by parentheses (): ', 'Declared functions are not executed immediately. They are ""saved for later \nuse"", and will be executed later, when they are called.To call a function, write the function\'s name followed by two parentheses () \nand a semicolon ;In the following example, myFunction() is used to print a text (the action), when it is called:A function can be called multiple times:', 'A C++ function consist of two parts:Note: If a user-defined function, such as myFunction() is declared after the main() function, \nan error will occur:However, it is possible to separate the declaration and the definition of the function - for code optimization.You will often see C++ programs that have function declaration above main(), \nand function definition below main(). This will make the code \nbetter organized and easier to read:']","['\n    void myFunction() {\xa0 \n  // code to be executed}\n', '\n  // Create a functionvoid myFunction() {\xa0 \n  cout << ""I just got executed!"";}int main() {\xa0 \n  myFunction(); // call the function\xa0 return 0;}// Outputs \n  ""I just got executed!""\n &&&&&& \n  void myFunction() {\xa0 \n  cout << ""I just got executed!\\n"";}int main() {\xa0 \n  myFunction();\xa0 myFunction();\xa0 \n  myFunction();\xa0 return 0;}// \n  I just got executed!// I just got executed!// I just got executed!\n', '\n    void myFunction() { // declaration\xa0 // \n    the body of the function (definition)}\n &&&&&& \n  int main() {\xa0 \n  myFunction();\xa0 return 0;}void myFunction() {\xa0 \n  cout << ""I just got executed!"";}// Error\n &&&&&& \n  // Function declarationvoid myFunction();// The main methodint main() {\xa0 \n  myFunction();\xa0 // call the function\xa0 return 0;}// Function definitionvoid myFunction() {\xa0 \n  cout << ""I just got executed!"";}\n']","['Create a Function###Function Declaration and Definition###&&&|||myFunction() is the name of the function|||void means that the function does not have a |||return value. You will learn more about return values later in the next chapter|||inside the function (the body), add code that defines what the function should do|||&&&|||Declaration: the return type, the name of the function, and parameters (if any)|||Definition: the body of the function (code to be executed)|||']",[],[]
cpp||Function Parameters,https://www.w3schools.com/cpp/cpp_function_param.asp,,['Parameters and Arguments'],"['Information can be passed to functions as a parameter. Parameters act as \nvariables inside the function.Parameters are specified after the function name, inside the parentheses.\nYou can add as many parameters as you want, just separate them with a comma:\nThe following example has a \nfunction that takes a string called fname as parameter.\nWhen the function is called, we pass along a first name,\nwhich is used inside the function to print the full name:\n']","['\n    void functionName(parameter1, parameter2, parameter3) {\xa0 \n  // code to be executed}\n &&&&&& \n  void myFunction(string fname) {\xa0 cout << fname << "" Refsnes\\n"";}\nint main() {\xa0 myFunction(""Liam"");\xa0 myFunction(""Jenny"");\xa0 \n  myFunction(""Anja"");\xa0 return 0;}// Liam Refsnes// Jenny Refsnes// \n  Anja Refsnes\n']",[''],[],[]
cpp||Function Parameters,https://www.w3schools.com/cpp/cpp_function_param.asp,,['Parameters and Arguments'],"['Information can be passed to functions as a parameter. Parameters act as \nvariables inside the function.Parameters are specified after the function name, inside the parentheses.\nYou can add as many parameters as you want, just separate them with a comma:\nThe following example has a \nfunction that takes a string called fname as parameter.\nWhen the function is called, we pass along a first name,\nwhich is used inside the function to print the full name:\n']","['\n    void functionName(parameter1, parameter2, parameter3) {\xa0 \n  // code to be executed}\n &&&&&& \n  void myFunction(string fname) {\xa0 cout << fname << "" Refsnes\\n"";}\nint main() {\xa0 myFunction(""Liam"");\xa0 myFunction(""Jenny"");\xa0 \n  myFunction(""Anja"");\xa0 return 0;}// Liam Refsnes// Jenny Refsnes// \n  Anja Refsnes\n']",[''],[],[]
cpp||Default Parameters,https://www.w3schools.com/cpp/cpp_function_default.asp,,['Default Parameter Value'],"['You can also use a default parameter value, by using the equals sign (=).\nIf we call the function without an argument, it uses the default value (""Norway""):']","['\n  void myFunction(string country = ""Norway"") {\xa0 cout \n  << country << ""\\n"";}\nint main() {\xa0 myFunction(""Sweden"");\xa0 \n  myFunction(""India"");\xa0 myFunction();\xa0 \n  myFunction(""USA"");\xa0 return 0;}// Sweden// \n  India// Norway// USA\n']",[''],[],[]
cpp||Multiple Parameters,https://www.w3schools.com/cpp/cpp_function_multiple.asp,,['Multiple Parameters'],"['Inside the function, you can add as many parameters as you want:']","['\n  void myFunction(string fname, int age) {\xa0 cout << fname << "" Refsnes. \n  "" << age << "" years old. \\n"";}int main() {\xa0 myFunction(""Liam"", 3);\xa0 \n  myFunction(""Jenny"", 14);\xa0 myFunction(""Anja"", 30);\xa0 return 0;\n  }// Liam Refsnes. 3 years old.// Jenny Refsnes. 14 years old.\n  // Anja Refsnes. 30 years old.\n']",[''],[],[]
cpp||The Return Keyword,https://www.w3schools.com/cpp/cpp_function_return.asp,,['Return Values'],"['The void keyword, used in the previous examples, indicates that the \nfunction should not return a value. If you \nwant the function to return a value, you can use a data type (such as int, \nstring, etc.) instead of void, and use the return \nkeyword inside the function:This example returns the sum of a function with two parameters:You can also store the result in a variable:']","['\nint myFunction(int x) {\xa0 return 5 \n    + x;}int main() {\xa0 cout << myFunction(3);\xa0 \n    return 0;}// Outputs \n  8 (5 + 3)\n &&&&&& \n  int myFunction(int x, int y) {\xa0 return x + y;}int main() \n  {\xa0 cout << myFunction(5, 3);\xa0 return 0;}\n  // Outputs 8 (5 + 3)\n &&&&&& \n  int myFunction(int x, int y) {\xa0 return x + y;}int main() {\xa0 \n  int z = myFunction(5, 3);\xa0 cout << z;\xa0 return 0;}\n  // Outputs 8 (5 + 3)\n']",[''],[],[]
cpp||Functions - Pass By Reference,https://www.w3schools.com/cpp/cpp_function_reference.asp,,['Pass By Reference'],"['In the examples from the previous page, we used normal variables when we passed parameters to \na function. You can also pass a reference to \nthe function. This can be useful when you need to change the value of the arguments:']",[''],[''],[],[]
cpp||Function Overloading,https://www.w3schools.com/cpp/cpp_function_overloading.asp,,['Function Overloading'],"['With function overloading, multiple functions can have the same name with different\nparameters:Consider the following example, which have two functions that add numbers of different type:Instead of defining two functions that should do the same thing, it is better to overload one. In the example below, we overload the plusFunc function to work for both int \nand double:']",[''],[''],[],[]
cpp||OOP,https://www.w3schools.com/cpp/cpp_oop.asp,,"['C++ What is OOP?', 'C++ What are Classes and Objects?']","['OOP stands for Object-Oriented Programming.Procedural programming is about writing procedures or functions that perform \noperations on the data, while object-oriented programming is about \ncreating objects that contain both data and functions.Object-oriented programming has several advantages over procedural \nprogramming:Tip: The ""Don\'t Repeat Yourself"" (DRY) principle is about \nreducing the repetition of code. You should extract out the codes that are \ncommon for the application, and place them at a single place and reuse them \ninstead of repeating it.', 'Classes and objects are the two main aspects of object-oriented programming.Look at the following illustration to see the difference between class and \nobjects:Another example:So, a class is a template for objects, and an object is an instance of a class.When the individual objects are created, they inherit all the \nvariables and functions from the class.You will learn much more about classes and objects in the next chapter.']","['', '']","['C++ What is OOP?###&&&|||OOP is faster and easier to execute|||OOP provides a clear structure for the programs|||OOP helps to keep the C++ code DRY ""Don\'t Repeat Yourself"", and makes |||  the |||  code easier to maintain, modify and debug|||OOP makes it possible to create full reusable |||  applications with less code and shorter development time|||']",[],[]
